kanji,radicals
杵,丿:十:干:木
久,丿:入
吸,丿:口:及
汲,丿:氵:及
笈,丿:竹:及
級,丿:糸:及
許,丿:十:干:言
僑,丿:冂:口:大:亻
喬,丿:冂:口:大
橋,丿:冂:口:木
矯,丿:冂:口:大:矢
蕎,丿:冂:口:大:艹
君,丿:口:日
係,丿:糸:亻
刑,丿:廾:刂
型,丿:土:廾:刂
形,丿:廾:彡
携,丿:隹:乃:扌
系,丿:糸
荊,丿:廾:刂:艹
懸,丿:小:心:目:糸
乎,丿:亅:丷
呼,丿:亅:口:丷
午,丿:十:干
御,丿:卩:彳:止
乞,丿:乙
后,丿:亅:厂:口:斤
垢,丿:亅:厂:口:土:斤
宏,丿:厶:宀
更,丿:日
梗,丿:日:木
浩,丿:口:土:氵
硬,丿:口:日:石
紘,丿:厶:糸
肱,丿:厶:月
告,丿:口:土
酷,丿:口:土:酉
鵠,丿:口:土:鳥:灬
佐,丿:工:亻
嵯,丿:山:工:玉:羊:丷
左,丿:工
差,丿:工:玉:羊:丷
沙,丿:小:氵
瑳,丿:工:玉:羊:丷
砂,丿:口:小:石
裟,丿:小:衣:氵
才,丿:亅
歳,丿:小:戈:止
砕,丿:十:口:石:九
際,丿:癶:示:阝.
材,丿:亅:木
財,丿:亅:貝
察,丿:宀:癶:示
擦,丿:宀:癶:示:扌
薩,丿:亠:厂:生:立:丷:艹:阝.
産,丿:亠:厂:生:立:丷
使,丿:口:亻
史,丿:口
施,丿:方:也
七,丿:乙:匕
失,丿:二:人:大
悉,丿:心:米:釆
紗,丿:小:糸
若,丿:口:艹
惹,丿:口:心:艹
寿,丿:二:寸
春,丿:二:日
傷,丿:日:亻:勿
升,丿:十:廾
少,丿:小
承,丿:亅:二:手:マ
抄,丿:小:扌
昇,丿:十:廾:日
渉,丿:小:止:氵
省,丿:小:目
称,丿:小:禾
丞,丿:亅:マ
城,丿:土:戈
杖,丿:木
蒸,丿:亅:マ:艹:灬
飾,丿:巾:食
榛,丿:二:人:木:禾
秦,丿:二:禾
壬,丿:士
訊,丿:几:言
随,丿:月:辶:阝.
髄,丿:冖:月:骨:辶
雀,丿:小:隹
制,丿:二:巾:牛:刂
成,丿:戈
盛,丿:戈:皿
誠,丿:戈:言
戚,丿:卜:小:戈
先,丿:儿:土
千,丿:十
栴,丿:冂:木
洗,丿:儿:土:氵
銑,丿:儿:土:金
倉,丿:口:个
蒼,丿:口:个:艹
鎗,丿:口:金:个
臓,丿:戈:月:臣:艹
蔵,丿:戈:臣:艹
造,丿:口:土:辶
属,丿:尸:禸
孫,丿:子:糸
遜,丿:子:糸:辶
堕,丿:土:月:阝.
惰,丿:工:月:忄
楕,丿:工:月:木
宅,丿:乙:宀
托,丿:乙:扌
託,丿:乙:言
諾,丿:口:言:艹
嘆,丿:口:艹
